Nome;Código;Tipo;Cálculo;Output
Idade;idade;composta;não;['IDADE']
Sexo;sexo;composta;não;['SEXO']
Instrução;instrucao;composta;não;['INSTRUCAO']
Itens do PCL-5;itens_pcl5;composta;não;['PCL01', 'PCL02', 'PCL03', 'PCL04', 'PCL05', 'PCL06', 'PCL07', 'PCL08', 'PCL09', 'PCL10', 'PCL11', 'PCL12', 'PCL13', 'PCL14', 'PCL15', 'PCL16', 'PCL17', 'PCL18', 'PCL19', 'PCL20']
Cluster B do PCL-5;pcl5_cluster_b;calculada;['PCL01', 'PCL02', 'PCL03', 'PCL04', 'PCL05'];['PCL5_Cluster_B']
Cluster C do PCL-5;pcl5_cluster_c;calculada;['PCL06', 'PCL07'];['PCL5_Cluster_C']
Cluster D do PCL-5;pcl5_cluster_d;calculada;['PCL08', 'PCL09', 'PCL10', 'PCL11', 'PCL12', 'PCL13', 'PCL14'];['PCL5_Cluster_D']
Cluster E do PCL-5;pcl5_cluster_e;calculada;['PCL15', 'PCL16', 'PCL17', 'PCL18', 'PCL19', 'PCL20'];['PCL5_Cluster_E']
PCL5 Total;pcl5_total;calculada;['PCL01', 'PCL02', 'PCL03', 'PCL04', 'PCL05', 'PCL06', 'PCL07', 'PCL08', 'PCL09', 'PCL10', 'PCL11', 'PCL12', 'PCL13', 'PCL14', 'PCL15', 'PCL16', 'PCL17', 'PCL18', 'PCL19', 'PCL20'];['PCL5_Total']
Clusters do PCL-5;clusters_pcl5;composta;não;['PCL5_Cluster_B', 'PCL5_Cluster_C', 'PCL5_Cluster_D', 'PCL5_Cluster_E']
Clusters do PCL-5 (Incluindo PCL Total);clusters_pcl5_incluindo_total;composta;não;['PCL5_Cluster_B', 'PCL5_Cluster_C', 'PCL5_Cluster_D', 'PCL5_Cluster_E', 'PCL5_Total']
Itens do PTCI;itens_ptci;composta;não;['PTCI01', 'PTCI02', 'PTCI03', 'PTCI04', 'PTCI05', 'PTCI06', 'PTCI07', 'PTCI08', 'PTCI09', 'PTCI10', 'PTCI11', 'PTCI12', 'PTCI13', 'PTCI14', 'PTCI15', 'PTCI16', 'PTCI17', 'PTCI18', 'PTCI19', 'PTCI20', 'PTCI21', 'PTCI22', 'PTCI23', 'PTCI24', 'PTCI25', 'PTCI26', 'PTCI27', 'PTCI28', 'PTCI29', 'PTCI30', 'PTCI31', 'PTCI32', 'PTCI33', 'PTCI34', 'PTCI35', 'PTCI36']
Cluster A do PTCI;ptci_cluster_a;calculada;['PTCI02', 'PTCI03', 'PTCI04', 'PTCI05', 'PTCI06', 'PTCI09', 'PTCI12', 'PTCI14', 'PTCI16', 'PTCI17', 'PTCI20', 'PTCI21', 'PTCI24', 'PTCI25', 'PTCI26', 'PTCI28', 'PTCI29', 'PTCI30', 'PTCI33', 'PTCI35', 'PTCI36'];['PTCI_Cluster_A']
Cluster B do PTCI;ptci_cluster_b;calculada;['PTCI07', 'PTCI08', 'PTCI10', 'PTCI11', 'PTCI18', 'PTCI23', 'PTCI27'];['PTCI_Cluster_B']
Cluster C do PTCI;ptci_cluster_c;calculada;['PTCI01', 'PTCI15', 'PTCI19', 'PTCI22', 'PTCI31'];['PTCI_Cluster_C']
PTCI Total;ptci_total;calculada;['PTCI01', 'PTCI02', 'PTCI03', 'PTCI04', 'PTCI05', 'PTCI06', 'PTCI07', 'PTCI08', 'PTCI09', 'PTCI10', 'PTCI11', 'PTCI12', 'PTCI14', 'PTCI15', 'PTCI16', 'PTCI17', 'PTCI18', 'PTCI19', 'PTCI20', 'PTCI21', 'PTCI22', 'PTCI23', 'PTCI24', 'PTCI25', 'PTCI26', 'PTCI27', 'PTCI28', 'PTCI29', 'PTCI30', 'PTCI31', 'PTCI33', 'PTCI35', 'PTCI36'];['PTCI_Total']
Clusters do PTCI;clusters_ptci;composta;não;['PTCI_Cluster_A', 'PTCI_Cluster_B', 'PTCI_Cluster_C']
Clusters do PTCI (Incluindo PTCI Total);clusters_ptci_incluindo_total;composta;não;['PTCI_Cluster_A', 'PTCI_Cluster_B', 'PTCI_Cluster_C', 'PTCI_Total']
PCL5Total e PTCI Total;pcl5total_e_ptci_total;composta;não;['PCL5_Total', 'PTCI_Total']
Clusters do PCL5 e Clusters do PTCI;clusters_pcl5_e_clusters_ptci;composta;não;['PCL5_Cluster_B', 'PCL5_Cluster_C', 'PCL5_Cluster_D', 'PCL5_Cluster_E', 'PTCI_Cluster_A', 'PTCI_Cluster_B', 'PTCI_Cluster_C']
Clusters do PCL5 e Clusters do PTCI (Incluindo PCL5 e PTCI Total);clusters_pcl5_e_clusters_ptci_incluindo_total;composta;não;['PCL5_Cluster_B', 'PCL5_Cluster_C', 'PCL5_Cluster_D', 'PCL5_Cluster_E', 'PCL5_Total', 'PTCI_Cluster_A', 'PTCI_Cluster_B', 'PTCI_Cluster_C', 'PTCI_Total']